VALUE,Freq,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCEN
1636,1006335.000000000000000,14750,51,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000,223804.000000000000000,0.400000000000000
1566,906643.000000000000000,13140,50,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,201633.000000000000000,0.300000000000000
1580,811158.000000000000000,14750,50,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000,180397.000000000000000,0.300000000000000
1586,943510.000000000000000,14940,50,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000,209832.000000000000000,0.300000000000000
1563,475344.000000000000000,13100,50,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,123,49,76,24,20,48,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,105714.000000000000000,0.200000000000000
1599,438262.000000000000000,13940,41,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,97467.000000000000000,0.200000000000000
1616,457578.000000000000000,13023,51,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,1016,-9999,-9999,1016,100,-9999,-9999,V-B,38,105,0,0.149020000000000,0.411765000000000,0.000000000000000,101763.000000000000000,0.200000000000000
1629,611451.000000000000000,14072,51,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000,135983.000000000000000,0.200000000000000
1565,147774.000000000000000,13130,50,13130_47_50_51,North-Central Interior Beech-Maple Forest,Hardwood,1004,-9999,836,456,45,-9999,55,V-A,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000,32864.000000000000000,0.100000000000000
1578,144639.000000000000000,14660,50,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,3715,536,-9999,468,13,87,-9999,V-A,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000,32167.000000000000000,0.100000000000000
1584,252650.000000000000000,14920,50,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000,56188.000000000000000,0.100000000000000
1600,349777.000000000000000,13950,41,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,1,2,97,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,77789.000000000000000,0.100000000000000
1601,239779.000000000000000,14071,41,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000,53326.000000000000000,0.100000000000000
1609,164784.000000000000000,14790,41,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,36647.000000000000000,0.100000000000000
1612,143284.000000000000000,14930,41,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,31866.000000000000000,0.100000000000000
1619,162400.000000000000000,13130,51,13130_47_50_51,North-Central Interior Beech-Maple Forest,Hardwood,1004,-9999,836,456,45,-9999,55,V-A,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000,36117.000000000000000,0.100000000000000
1621,275142.000000000000000,13442,51,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,112,-9999,-9999,112,100,-9999,-9999,IV-B,135,200,114,0.529412000000000,0.784314000000000,0.447059000000000,61190.000000000000000,0.100000000000000
1633,404994.000000000000000,14440,51,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000,90068.000000000000000,0.100000000000000
1635,334267.000000000000000,14710,51,14710_51_62,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,429,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,74339.000000000000000,0.100000000000000
1640,175216.000000000000000,14920,51,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000,38967.000000000000000,0.100000000000000
1656,229254.000000000000000,14770,40,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,50985.000000000000000,0.100000000000000
-1111,45823.000000000000000,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111,111,111,0.435294000000000,0.435294000000000,0.435294000000000,10191.000000000000000,0.000000000000000
31,59739.000000000000000,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000,13286.000000000000000,0.000000000000000
1564,56899.000000000000000,13110,50,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,104,98,19,14,14,14,72,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,12654.000000000000000,0.000000000000000
1571,106090.000000000000000,13950,50,13950_50,North-Central Oak Barrens,Hardwood,53,143,6,5,9,4,87,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,23594.000000000000000,0.000000000000000
1572,113112.000000000000000,14071,50,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000,25156.000000000000000,0.000000000000000
1574,67175.000000000000000,14090,50,14090_50_64,Great Lakes Alvar,Conifer,439,3247,-9999,387,88,12,-9999,V-A,227,235,117,0.890196000000000,0.921569000000000,0.458824000000000,14939.000000000000000,0.000000000000000
1575,84602.000000000000000,14120,50,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,18815.000000000000000,0.000000000000000
1576,44328.000000000000000,14210,50,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000,9858.000000000000000,0.000000000000000
1577,56408.000000000000000,14440,50,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000,12545.000000000000000,0.000000000000000
1579,78754.000000000000000,14710,50,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,17514.000000000000000,0.000000000000000
1582,38009.000000000000000,14790,50,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,8453.000000000000000,0.000000000000000
1585,11962.000000000000000,14930,50,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,2660.000000000000000,0.000000000000000
1587,39404.000000000000000,15170,50,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000,8763.000000000000000,0.000000000000000
1592,122098.000000000000000,13310,41,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,27154.000000000000000,0.000000000000000
1603,28944.000000000000000,14120,41,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,6437.000000000000000,0.000000000000000
1604,35168.000000000000000,14200,41,14200_41,Northern Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,7821.000000000000000,0.000000000000000
1606,86321.000000000000000,14710,41,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,19197.000000000000000,0.000000000000000
1611,2147.000000000000000,14920,41,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000,477.000000000000000,0.000000000000000
1617,5803.000000000000000,13100,51,13100_51,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,161,160,11,9,6,6,88,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,1291.000000000000000,0.000000000000000
1618,44565.000000000000000,13110,51,13110_51,North-Central Interior Dry Oak Forest and Woodland,Hardwood,137,111,11,9,7,8,85,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,9911.000000000000000,0.000000000000000
1630,870.000000000000000,14110,51,14110_49_51_52,Great Lakes Wet-Mesic Lakeplain Prairie,Riparian,24,-9999,-9999,24,100,-9999,-9999,II-C,235,255,0,0.921569000000000,1.000000000000000,0.000000000000000,193.000000000000000,0.000000000000000
1631,24566.000000000000000,14120,51,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,5463.000000000000000,0.000000000000000
1634,58662.000000000000000,14660,51,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,3715,536,-9999,468,13,87,-9999,V-A,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000,13046.000000000000000,0.000000000000000
1638,94460.000000000000000,14790,51,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,21007.000000000000000,0.000000000000000
1641,4975.000000000000000,14940,51,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000,1106.000000000000000,0.000000000000000
1646,25649.000000000000000,13010,40,13010_40,Boreal Aspen-Birch Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,245,56,1.000000000000000,0.960784000000000,0.219608000000000,5704.000000000000000,0.000000000000000
1647,132.000000000000000,13020,40,13020_40,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2109,-9999,-9999,2109,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,29.000000000000000,0.000000000000000
1648,708.000000000000000,13140,40,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,157.000000000000000,0.000000000000000
1649,12290.000000000000000,13310,40,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,2733.000000000000000,0.000000000000000
1650,2036.000000000000000,13651,40,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,453.000000000000000,0.000000000000000
1652,2036.000000000000000,13940,40,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,453.000000000000000,0.000000000000000
1653,2732.000000000000000,14120,40,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,608.000000000000000,0.000000000000000
1654,29832.000000000000000,14200,40,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,6634.000000000000000,0.000000000000000
1655,39.000000000000000,14690,40,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,9.000000000000000,0.000000000000000
1657,490.000000000000000,14820,40,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000,109.000000000000000,0.000000000000000
1658,1897.000000000000000,14950,40,14950_31_39_40,Western Great Plains Depressional Wetland Systems,Riparian,20,-9999,-9999,20,100,-9999,-9999,II-C,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000,422.000000000000000,0.000000000000000
2723,1093.000000000000000,13620,41,13620_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,355,680,12,11,3,2,95,I-B,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000,243.000000000000000,0.000000000000000
2725,2924.000000000000000,13620,50,13620_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,355,680,12,11,3,2,95,I-B,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000,650.000000000000000,0.000000000000000
