Value,Count
280,13741.000000000000000
281,14010.000000000000000
282,13611.000000000000000
283,13889.000000000000000
284,13539.000000000000000
285,13681.000000000000000
286,13683.000000000000000
287,13392.000000000000000
288,13033.000000000000000
289,13260.000000000000000
290,13040.000000000000000
291,13110.000000000000000
292,12965.000000000000000
293,12917.000000000000000
294,12881.000000000000000
295,12627.000000000000000
296,12396.000000000000000
297,12502.000000000000000
298,12397.000000000000000
299,12110.000000000000000
300,12128.000000000000000
301,12178.000000000000000
302,12245.000000000000000
303,11929.000000000000000
304,11970.000000000000000
305,11683.000000000000000
306,11741.000000000000000
307,11770.000000000000000
308,11677.000000000000000
309,11605.000000000000000
310,11464.000000000000000
311,11640.000000000000000
312,11301.000000000000000
313,11361.000000000000000
314,11198.000000000000000
315,11057.000000000000000
316,11107.000000000000000
317,10991.000000000000000
318,10877.000000000000000
319,10902.000000000000000
320,10806.000000000000000
321,10818.000000000000000
322,10709.000000000000000
323,10638.000000000000000
324,10514.000000000000000
325,10288.000000000000000
326,10346.000000000000000
327,10360.000000000000000
328,10350.000000000000000
329,10552.000000000000000
330,10402.000000000000000
331,10281.000000000000000
332,10016.000000000000000
333,10247.000000000000000
334,9883.000000000000000
335,9938.000000000000000
336,10011.000000000000000
337,9712.000000000000000
338,9848.000000000000000
339,9544.000000000000000
340,9722.000000000000000
341,9510.000000000000000
342,9707.000000000000000
343,9478.000000000000000
344,9604.000000000000000
345,9515.000000000000000
346,9416.000000000000000
347,9471.000000000000000
348,9299.000000000000000
349,9240.000000000000000
350,9175.000000000000000
351,9096.000000000000000
352,9255.000000000000000
353,9174.000000000000000
354,9079.000000000000000
355,9134.000000000000000
356,8872.000000000000000
357,8908.000000000000000
358,8839.000000000000000
359,8701.000000000000000
360,8564.000000000000000
361,8610.000000000000000
362,8744.000000000000000
363,8738.000000000000000
364,8527.000000000000000
365,8448.000000000000000
366,8456.000000000000000
367,8477.000000000000000
368,8501.000000000000000
369,8347.000000000000000
370,8287.000000000000000
371,8257.000000000000000
372,8429.000000000000000
373,8116.000000000000000
374,8183.000000000000000
375,8038.000000000000000
376,8036.000000000000000
377,8031.000000000000000
378,7912.000000000000000
379,8008.000000000000000
380,8008.000000000000000
381,7845.000000000000000
382,7981.000000000000000
383,7739.000000000000000
384,7842.000000000000000
385,7716.000000000000000
386,7653.000000000000000
387,7522.000000000000000
388,7528.000000000000000
389,7392.000000000000000
390,7601.000000000000000
391,7380.000000000000000
392,7300.000000000000000
393,7453.000000000000000
394,7419.000000000000000
395,7356.000000000000000
396,7223.000000000000000
397,7243.000000000000000
398,7278.000000000000000
399,7152.000000000000000
400,6999.000000000000000
401,7008.000000000000000
402,7044.000000000000000
403,7098.000000000000000
404,6985.000000000000000
405,6986.000000000000000
406,6929.000000000000000
407,6767.000000000000000
408,6783.000000000000000
409,6783.000000000000000
410,6705.000000000000000
411,6636.000000000000000
412,6548.000000000000000
413,6717.000000000000000
414,6571.000000000000000
415,6461.000000000000000
416,6558.000000000000000
417,6497.000000000000000
418,6510.000000000000000
419,6602.000000000000000
420,6491.000000000000000
421,6397.000000000000000
422,6352.000000000000000
423,6400.000000000000000
424,6289.000000000000000
425,6129.000000000000000
426,6186.000000000000000
427,6084.000000000000000
428,6084.000000000000000
429,6175.000000000000000
430,6062.000000000000000
431,6042.000000000000000
432,5989.000000000000000
433,6029.000000000000000
434,5956.000000000000000
435,6076.000000000000000
436,6014.000000000000000
437,5991.000000000000000
438,5802.000000000000000
439,5903.000000000000000
440,5663.000000000000000
441,5722.000000000000000
442,5753.000000000000000
443,5756.000000000000000
444,5663.000000000000000
445,5696.000000000000000
446,5556.000000000000000
447,5661.000000000000000
448,5703.000000000000000
449,5627.000000000000000
450,5498.000000000000000
451,5533.000000000000000
452,5652.000000000000000
453,5490.000000000000000
454,5395.000000000000000
455,5432.000000000000000
456,5368.000000000000000
457,5315.000000000000000
458,5426.000000000000000
459,5411.000000000000000
460,5349.000000000000000
461,5414.000000000000000
462,5252.000000000000000
463,5411.000000000000000
464,5028.000000000000000
465,5080.000000000000000
466,5178.000000000000000
467,5097.000000000000000
468,5085.000000000000000
469,5162.000000000000000
470,5092.000000000000000
471,5093.000000000000000
472,4963.000000000000000
473,5038.000000000000000
474,5170.000000000000000
475,5080.000000000000000
476,5041.000000000000000
477,5132.000000000000000
478,5107.000000000000000
479,4998.000000000000000
480,5081.000000000000000
481,4979.000000000000000
482,4937.000000000000000
